code,Category,Name,"Long Description","Cost Per Unit",Quantity,"Unit of measure","Total Cost",RETAIL,WHOLESALE,REGULAR,"Vat Status",Availability
321924478,"Food Color &amp; Flavor","Bakersfield Flavorade Ube (4kg)","Bakersfield Flavorade Ube (4kg)",1290,0,each,0,1420,0,0,yes,Available
4806531440171,"Coffee Sauces &amp; Syrups","Bakersfield Fudge it Caramel (6x1kg)","Bakersfield Fudge it Caramel (6x1kg)",263.47,0,piece,0,285,0,0,yes,Available
19520049,"Coffee Sauces &amp; Syrups","Bakersfield Fudge it Chocolate (6x1kg)","Bakersfield Fudge it Chocolate (6x1kg)",268.12,0,piece,0,285,0,0,yes,Available
68141943,"Coffee Sauces &amp; Syrups","Bakersfield Fudge it Yema (6x1kg)","Bakersfield Fudge it Yema (6x1kg)",291.4,0,piece,0,315,0,0,yes,Available
4806531440362,"Whipping Cream","Bakersfield Whipp it (12x1kg)","Bakersfield Whipp it (12x1kg)",293.27014285714,0,each,0,310,0,0,yes,Available
107201052,"Baking Cup","Baking cup 2 oz (1200pcs)","Baking cup 2 oz (1200pcs)",52,,each,0,60,0,0,yes,Available
848450741,"Baking Cup","Baking cup 3 oz (2000pcs)","Baking cup 3 oz (2000pcs)",110,,each,0,127,0,0,yes,Available
890784914,"Baking Cup","Baking cup 4 oz (2000pcs)","Baking cup 4 oz (2000pcs)",184,0,each,0,152,0,0,yes,Available
1143384171,"Baking Cup","Baking cup 5 1/2 oz (3000pcs)","Baking cup 5 1/2 oz (3000pcs)",375.39,0,each,0,430,0,0,yes,Available
194721132,"Baking Equipment","Baking Sheet","Baking Sheet",4,,each,0,10,0,0,yes,Available
17930345,"Baking Supply","Baking Soda 100g","Baking Soda 100g",5.5,0,piece,0,10,0,0,yes,Available
362611877,Flour,"Baking Soda 500g","Baking Soda 500g",28,0,each,0,35,0,0,yes,Available
56665758,Stocks,"Barista Supreme Cafe NOIR (Cappuccino) (750gx12pcks)","Barista Supreme Cafe NOIR (Cappuccino) (750gx12pcks)",323.7,9,piece,2913.3,355,0,0,yes,Available
17393126,Stocks,"Barista Supreme Caramel Macchiatto (750gx12pcks)","Barista Supreme Caramel Macchiatto (750gx12pcks)",323.7,5,piece,1618.5,375,0,0,yes,Available
05855698,Stocks,"Barista Supreme Java Chips (750gx12pcks))","Barista Supreme Java Chips (750gx12pcks))",370.5,0,piece,0,475,0,0,yes,Available
59644965,Stocks,"Barista Supreme Mocha (750gx12pcks)","Barista Supreme Mocha (750gx12pcks)",323,-9,piece,0,375,0,0,yes,Available
28496595,"Baking Supply","Baron All Purpose Flour 500g","Baron All Purpose Flour 500g",18.6,0,pack,0,28,0,0,yes,Available
83901157,Spices/Herbs,"Basil Leaves gr. (100g)","Basil Leaves gr. (100g)",59.5,0,each,0,80,0,0,yes,Available
984490442,Rice,"Basmati Rice La Quilla (5kg)","Basmati Rice La Quilla (5kg)",1100,,each,0,1365,0,0,yes,Available
655296053,Spices/Herbs,"Bay leaf 50g","Bay leaf 50g",28,0,each,0,35,0,0,yes,Available
614287333,"Coffee Beans","BCB - Kalinga Blend (1kg)","BCB - Kalinga Blend (1kg)",504.84993,0,each,0,750,0,0,yes,Available
29888955,Straw,"Bending Straw (White)Individually Wrapped 100s","Bending Straw (White)Individually Wrapped 100s",33,3,piece,99,55,0,0,yes,Available
77236272,Straw,"Bending Straw Black Individually Wrapped 100s","Bending Straw Black Individually Wrapped 100s",28.627249357326,401,piece,11479.526992288,55,0,0,yes,Available
9556247512918,Chocolate,"Beryl's 19% Dark Chocolate Compound (1kg)","Beryl's 19% Dark Chocolate Compound (1kg)",340.725,22,each,7495.95,385,0,0,yes,Available
9556247512925,Chocolate,"Beryl's 24% White Chocolate Compound (1kg)","Beryl's 24% White Chocolate Compound (1kg)",267.03846153846,0,each,0,310,0,0,yes,Available
673932729,Chocolate,"Beryl's Chocolate Blend 1kg","Beryl's Chocolate Blend 1kg",250,0,each,0,275,0,0,yes,Available
9556247518194,Chocolate,"Beryl's Chocolate Compound Chips 8800ct","Beryl's Chocolate Compound Chips 8800ct",357,28,each,9996,385,0,0,yes,Available
631678886,Chocolate,"Beryl's Dark Chocolate Chips (1kg)","Beryl's Dark Chocolate Chips (1kg)",245,-3,each,0,270,0,0,yes,Available
96436172,"Baking Supply","Beryl's Double Chocolate Chunk (500g)","Beryl's Double Chocolate Chunk (18x500g)",193.8,0,piece,0,220,0,0,yes,Available
436837259,"Baking Supply","Beryl's Gourmet Premium Cocoa Powder 1kg","Beryl's Gourmet Premium Cocoa Powder 1kg",360,0,each,0,389,0,0,yes,Available
87972696,"Baking Supply","Beryl's Milk Chocolate Compound Bar 1kg","Beryl's Milk Chocolate Compound Bar1kg",280.5,0,piece,0,310,0,0,yes,Available
1112296268,Flour,"Besan Gram FLour","Besan Gram FLour",140,,each,0,182,0,0,yes,Available
00001235,Cones,"Big Time Slim Cone (144 pcs)","Big Time Slim Cone (144 pcs)",731,0,piece,0,781,0,0,yes,Available
582195298,Spices/Herbs,"Black Cardamom","Black Cardamom",190,,each,0,220,0,0,yes,Available
187531552,Equipment,"Blender Drink Machine","Blender Drink Machine",2199.358974359,1,each,2199.358974359,3800,0,0,yes,Available
781013286,"Blender Parts","Blender Motor","Blender Motor",979.53189,2,each,1959.06378,1600,0,0,yes,Available
468246484,"Blender Parts","Blender Pitcher","Blender Pitcher",850,1,each,850,1300,0,0,yes,Available
214602930,"Blender Parts","Blender Pitcher w/ Blade and Lock","Blender Pitcher w/ Blade and Lock",0,,each,0,2000,0,0,yes,Available
241553813,"Blender Parts","Blender Pulse Switch","Blender Pulse Switch",100,2,each,200,250,0,0,yes,Available
53178791,"Blender Parts","Blender Volume Key","Blender Volume Key",0,,each,0,250,0,0,yes,Available
